Private Entity,External URI,Confidence
ex:Harvey_Weinstein,wd:Q531599,0.95
ex:Weinstein,wd:Q41566619,0.95
ex:Bob_Weinstein,wd:Q888311,0.95
ex:Harvey_Weinsteins,wd:Q41832063,0.95
ex:Gwyneth_Paltrow,wd:Q34460,0.95
ex:Courtney_Love,wd:Q222071,0.95
ex:Harvey,wd:Q19767733,0.95
ex:Seth_MacFarlane,wd:Q188492,0.95
ex:Quentin_Tarantino,wd:Q3772,0.95
ex:Ivana_Lowell,wd:Q75315625,0.95
ex:David_Carr,wd:Q110940756,0.95
ex:Ken_Auletta,wd:Q3719401,0.95
ex:Jor,wd:Q810,0.95
ex:%C3%89ric_Fassin,wd:Q3591122,0.95
ex:Fr%C3%A9d%C3%A9ric_Mitterrand,wd:Q257752,0.95
ex:Roman_Polanski,wd:Q51552,0.95
ex:Virginie_Ballet,wd:Q106902093,0.95
ex:Ad%C3%A8le_Haenel,wd:Q31353,0.95
ex:Judith_Godr%C3%A8che,wd:Q267542,0.95
ex:Beno%C3%AEt_Jacquot,wd:Q818119,0.95
ex:Jacques_Doillon,wd:Q710650,0.95
ex:Dominique_Boutonnat,wd:Q65939497,0.95
ex:Rachida_Dati,wd:Q27182,0.95
ex:Kevin_Spacey,wd:Q25144,0.95
ex:Anthony_Rapp,wd:Q39983,0.95
ex:Spacey,wd:Q136759019,0.95
ex:Rapp,wd:Q414592,0.95
ex:Heather_Unruh,wd:Q42869279,0.95
ex:Tony_Montana,wd:Q629034,0.95
ex:Richard_Dreyfuss,wd:Q181799,0.95
ex:Gore_Vidal,wd:Q167821,0.95
ex:J_Paul_Getty,wd:Q2919540,0.95
ex:Ridley_Scotts,wd:Q28405483,0.95
ex:Christopher_Plummer,wd:Q190523,0.95
ex:Woody_Allen,wd:Q25089,0.95
ex:Mia_Farrow,wd:Q202725,0.95
ex:Dylan_Farrow,wd:Q100135417,0.95
ex:Allen,wd:Q2648323,0.95
ex:Dylan,wd:Q1814575,0.95
ex:Moses,wd:Q13554012,0.95
ex:Satchel,wd:Q37267528,0.95
ex:Farrow,wd:Q27208296,0.95
ex:Soon-Yi_Previn,wd:Q1140914,0.95
ex:Andr%C3%A9_Previn,wd:Q155712,0.95
ex:Previn,wd:Q21509473,0.95
ex:Mia,wd:Q1747696,0.95
ex:Maureen_Orth,wd:Q6792746,0.95
ex:Tarana_Burke,wd:Q43177774,0.95
ex:Alyssa_Milano,wd:Q189067,0.95
ex:Burke,wd:Q1679720,0.95
ex:Jude_Doyle,wd:Q62536664,0.95
ex:Jennifer_Wright,wd:Q120486144,0.95
ex:Tarana_Burke,wd:Q43177774,0.95
ex:Ben_Affleck,wd:Q483118,0.95
ex:Hilarie_Burton,wd:Q229054,0.95
ex:Burton,wd:Q1259568,0.95
ex:David_Blaine,wd:Q353983,0.95
ex:Blaine,wd:Q15059196,0.95
ex:Melissa_Schuman,wd:Q6812877,0.95
ex:Nick_Carter,wd:Q338748,0.95
ex:Carter,wd:Q16101731,0.95
ex:Louis_CK,wd:Q15079,0.95
ex:Louis_Szekely,wd:Q15079,0.95
ex:Michael_Douglas,wd:Q119798,0.95
ex:Douglas,wd:Q463035,0.95
ex:James_Franco,wd:Q306403,0.95
ex:Franco,wd:Q15303969,0.95
ex:Dustin_Hoffman,wd:Q42930,0.95
ex:Anna_Graham_Hunter,wd:Q47463939,0.95
ex:Hoffman,wd:Q224301,0.95
ex:Hunter,wd:Q12020943,0.95
ex:Kathryn_Rossetter,wd:Q47475730,0.95
ex:Rossetter,wd:Q37474471,0.95
ex:Eliza_Dushku,wd:Q210200,0.95
ex:Joel_Kramer,wd:Q102354627,0.95
ex:Kramer,wd:Q1158524,0.95
